Date,Open,High,Low,Close,Volume
1970-01-01T00:00:00Z,26606.19921875,26676.232421875,26585.482421875,26659.5703125,0.0
1970-01-01T00:00:00Z,26654.53515625,26692.39453125,26613.482421875,26648.759765625,0.0
1970-01-01T00:00:00Z,26656.7109375,26754.76953125,26656.7109375,26692.173828125,75232256.0
1970-01-01T00:00:00Z,26683.814453125,26702.310546875,26629.833984375,26631.01171875,2733056.0
1970-01-01T00:00:00Z,26630.802734375,26630.802734375,26577.96875,26596.79296875,39176192.0
1970-01-01T00:00:00Z,26570.39453125,26587.0625,26541.48828125,26550.517578125,37638144.0
1970-01-01T00:00:00Z,26548.75,26548.75,26475.333984375,26480.1796875,47432704.0
1970-01-01T00:00:00Z,26489.830078125,26509.810546875,26487.763671875,26498.6953125,0.0
1970-01-01T00:00:00Z,26498.080078125,26536.025390625,26478.974609375,26524.33984375,0.0
1970-01-01T00:00:00Z,26517.990234375,26579.943359375,26517.990234375,26547.46875,0.0
1970-01-01T00:00:00Z,26515.75,26540.71484375,26473.890625,26539.646484375,104448.0
1970-01-01T00:00:00Z,26546.033203125,26550.650390625,26505.93359375,26535.623046875,0.0
1970-01-01T00:00:00Z,26529.08203125,26582.169921875,26511.01953125,26565.158203125,0.0
1970-01-01T00:00:00Z,26558.384765625,26573.66015625,26533.037109375,26566.314453125,3044601856.0
1970-01-01T00:00:00Z,26563.923828125,26568.6640625,26508.587890625,26509.697265625,0.0
1970-01-01T00:00:00Z,26509.150390625,26544.744140625,26504.71875,26534.498046875,0.0
1970-01-01T00:00:00Z,26522.4609375,26543.181640625,26515.642578125,26536.341796875,0.0
1970-01-01T00:00:00Z,26543.0859375,26602.078125,26526.494140625,26588.189453125,5926912.0
1970-01-01T00:00:00Z,26581.369140625,26613.94140625,26569.275390625,26584.94140625,0.0
1970-01-01T00:00:00Z,26587.265625,26589.326171875,26529.205078125,26543.142578125,0.0
1970-01-01T00:00:00Z,26541.826171875,26568.048828125,26537.48828125,26537.48828125,0.0
1970-01-01T00:00:00Z,26539.64453125,26591.18359375,26539.64453125,26584.39453125,0.0
1970-01-01T00:00:00Z,26578.53125,26590.048828125,26571.333984375,26573.498046875,0.0
1970-01-01T00:00:00Z,26571.328125,26580.625,26535.361328125,26567.927734375,0.0
1970-01-01T00:00:00Z,26567.927734375,26569.78515625,26479.703125,26479.703125,0.0
1970-01-01T00:00:00Z,26474.19140625,26522.435546875,26445.07421875,26512.736328125,112274432.0
1970-01-01T00:00:00Z,26506.177734375,26528.232421875,26500.88671875,26511.6484375,0.0
1970-01-01T00:00:00Z,26511.857421875,26540.171875,26508.82421875,26536.384765625,0.0
1970-01-01T00:00:00Z,26534.76953125,26571.0703125,26524.9453125,26565.876953125,0.0
1970-01-01T00:00:00Z,26563.029296875,26568.0234375,26540.544921875,26547.31640625,0.0
1970-01-01T00:00:00Z,26548.80859375,26552.57421875,26538.91796875,26550.236328125,0.0
1970-01-01T00:00:00Z,26551.609375,26557.216796875,26516.7109375,26519.9765625,0.0
1970-01-01T00:00:00Z,26515.548828125,26555.55078125,26508.85546875,26555.55078125,0.0
1970-01-01T00:00:00Z,26556.478515625,26580.92578125,26551.30859375,26580.92578125,0.0
1970-01-01T00:00:00Z,26585.28515625,26614.583984375,26581.55078125,26608.49609375,0.0
1970-01-01T00:00:00Z,26607.189453125,26617.998046875,26585.787109375,26585.787109375,0.0
1970-01-01T00:00:00Z,26583.666015625,26595.365234375,26574.35546875,26587.783203125,0.0
1970-01-01T00:00:00Z,26587.8203125,26589.36328125,26541.716796875,26541.716796875,0.0
1970-01-01T00:00:00Z,26549.416015625,26591.75,26549.416015625,26554.693359375,0.0
1970-01-01T00:00:00Z,26550.708984375,26599.056640625,26549.771484375,26560.521484375,152273920.0
1970-01-01T00:00:00Z,26561.41796875,26561.41796875,26516.529296875,26525.072265625,18116608.0
1970-01-01T00:00:00Z,26524.51953125,26530.38671875,26498.73828125,26498.73828125,0.0
1970-01-01T00:00:00Z,26494.96484375,26526.333984375,26484.04296875,26505.318359375,0.0
1970-01-01T00:00:00Z,26508.78515625,26518.58984375,26501.912109375,26511.88671875,0.0
1970-01-01T00:00:00Z,26511.97265625,26513.66796875,26461.2421875,26462.396484375,104511488.0
1970-01-01T00:00:00Z,26443.99609375,26500.771484375,26420.40234375,26487.95703125,120866304.0
1970-01-01T00:00:00Z,26491.326171875,26491.326171875,26450.060546875,26467.375,44983296.0
1970-01-01T00:00:00Z,26490.833984375,26536.810546875,26454.970703125,26536.810546875,71581184.0
1970-01-01T00:00:00Z,26532.994140625,26555.0859375,26415.515625,26478.7109375,167976448.0
1970-01-01T00:00:00Z,26474.01953125,26488.35546875,26455.87890625,26471.654296875,0.0
1970-01-01T00:00:00Z,26472.23828125,26746.36328125,26472.23828125,26673.837890625,476198912.0
1970-01-01T00:00:00Z,26671.333984375,26682.650390625,26596.775390625,26659.09765625,149401600.0
1970-01-01T00:00:00Z,26670.859375,26686.3203125,26583.49609375,26624.9296875,124461568.0
1970-01-01T00:00:00Z,26630.630859375,26675.908203125,26616.99609375,26668.037109375,48612864.0
1970-01-01T00:00:00Z,26664.986328125,26701.064453125,26653.375,26672.318359375,60485120.0
1970-01-01T00:00:00Z,26637.78125,26770.29296875,26637.78125,26712.169921875,295854592.0
1970-01-01T00:00:00Z,26717.18359375,26735.41796875,26693.330078125,26709.994140625,109741056.0
1970-01-01T00:00:00Z,26725.15625,26904.19140625,26725.15625,26892.505859375,696227840.0
