Date,Open,High,Low,Close,Volume
2023-09-15T07:00:00Z,26576.01,26594.83,26550.99,26565.69,1018.40995
2023-09-15T08:00:00Z,26565.69,26637.08,26540.61,26633.41,789.07818
2023-09-15T09:00:00Z,26633.41,26690.0,26578.53,26613.78,1041.26404
2023-09-15T10:00:00Z,26613.78,26657.84,26597.12,26639.64,823.92225
2023-09-15T11:00:00Z,26639.64,26639.65,26375.01,26425.16,2270.58046
2023-09-15T12:00:00Z,26425.17,26470.73,26334.13,26364.66,1770.64466
2023-09-15T13:00:00Z,26364.67,26526.99,26362.42,26364.97,1483.77917
2023-09-15T14:00:00Z,26364.97,26416.89,26224.0,26238.14,2438.38332
2023-09-15T15:00:00Z,26238.13,26329.6,26225.54,26321.21,1113.08223
2023-09-15T16:00:00Z,26321.2,26388.36,26315.02,26379.97,874.87456
2023-09-15T17:00:00Z,26379.97,26379.97,26317.01,26338.5,620.58967
2023-09-15T18:00:00Z,26338.51,26405.44,26331.97,26347.38,661.29286
2023-09-15T19:00:00Z,26347.39,26444.45,26340.68,26397.38,692.60274
2023-09-15T20:00:00Z,26397.38,26444.1,26373.21,26415.78,620.12776
2023-09-15T21:00:00Z,26415.78,26506.26,26415.77,26469.14,977.53111
2023-09-15T22:00:00Z,26469.14,26847.72,26469.13,26776.31,2463.14395
2023-09-15T23:00:00Z,26776.32,26888.0,26591.73,26600.0,1864.23816
2023-09-16T00:00:00Z,26599.99,26672.41,26571.42,26630.17,1000.96505
2023-09-16T01:00:00Z,26630.17,26694.18,26594.2,26653.31,599.9591
2023-09-16T02:00:00Z,26653.3,26777.0,26653.3,26675.01,1102.15987
2023-09-16T03:00:00Z,26675.01,26700.0,26604.75,26616.43,641.40577
2023-09-16T04:00:00Z,26616.44,26621.36,26539.89,26555.28,937.49494
2023-09-16T05:00:00Z,26555.28,26583.29,26515.0,26537.76,742.59541
2023-09-16T06:00:00Z,26537.76,26537.77,26467.45,26487.38,756.07381
2023-09-16T07:00:00Z,26487.39,26509.99,26480.0,26494.5,469.92696
2023-09-16T08:00:00Z,26494.5,26536.35,26470.91,26508.08,575.53975
2023-09-16T09:00:00Z,26508.07,26581.98,26499.73,26501.44,630.14045
2023-09-16T10:00:00Z,26501.44,26545.19,26445.0,26545.18,708.39792
2023-09-16T11:00:00Z,26545.18,26550.0,26485.15,26524.09,492.48218
2023-09-16T12:00:00Z,26524.08,26576.38,26500.32,26550.68,485.2958
2023-09-16T13:00:00Z,26550.69,26570.65,26516.83,26550.65,442.155
2023-09-16T14:00:00Z,26550.66,26560.16,26490.31,26500.61,726.47828
2023-09-16T15:00:00Z,26500.61,26537.69,26481.87,26507.12,479.50654
2023-09-16T16:00:00Z,26507.12,26530.24,26496.14,26527.19,458.47009
2023-09-16T17:00:00Z,26527.18,26622.22,26512.74,26566.98,704.27077
2023-09-16T18:00:00Z,26566.98,26622.15,26554.99,26581.25,506.31661
2023-09-16T19:00:00Z,26581.26,26582.91,26505.4,26532.8,380.62449
2023-09-16T20:00:00Z,26532.79,26562.63,26526.18,26527.41,216.94597
2023-09-16T21:00:00Z,26527.41,26579.99,26526.15,26570.01,362.34955
